"Perioden","Regio.s","Bouwen.en.wonen.Woningvoorraad.Voorraad.op.1.januari..aantal.","Bouwen.en.wonen.Woningvoorraad.Nieuwbouw..aantal.","Bouwen.en.wonen.Woningvoorraad.Saldo.voorraad..relatief..per.1.000.woningen.","Bouwen.en.wonen.Woningvoorraad.Woningdichtheid..aantal.woningen.per.km..","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Koopwoningen....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.woningcorporatie....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.overige.verhuurders....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Eigendom.onbekend....","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2025,"Zeeland (PV)",193454,NA,"",109,"","","","",319
2005,"Noord-Brabant (PV)",977896,8133,"7",199,"","","","",226
2006,"Noord-Brabant (PV)",984757,10925,"9,3",200,"59,7","","","2,4",226
2007,"Noord-Brabant (PV)",993954,11307,"10,1",202,"60,2","","","2,5",245
2008,"Noord-Brabant (PV)",1006145,11157,"8,3",205,"60,5","","","2,5",261
2009,"Noord-Brabant (PV)",1014451,12855,"11,6",206,"60,9","29,4","9,3","0,4",270
2010,"Noord-Brabant (PV)",1026222,8513,"7",209,"60,5","29,4","9,7","0,4",271
2011,"Noord-Brabant (PV)",1033423,9867,"8,1",210,"60,1","28,8","10,8","0,3",264
2012,"Noord-Brabant (PV)",1050426,8142,"11,4",214,"61,6","28,8","8,9","0,7",257
2013,"Noord-Brabant (PV)",1062387,9782,"15,4",216,"61,5","28,7","9,2","0,5",246
2014,"Noord-Brabant (PV)",1078783,7751,"8",220,"60,9","28,6","9,7","0,8",233
2015,"Noord-Brabant (PV)",1087416,6924,"8,3",221,"60,8","28,5","9,9","0,7",226
2016,"Noord-Brabant (PV)",1096399,7468,"7,2",223,"60,7","28,1","10,2","1",226
2017,"Noord-Brabant (PV)",1104296,10450,"10,7",225,"60,6","27,9","10,7","0,9",232
2018,"Noord-Brabant (PV)",1116102,11078,"11,4",228,"60,9","27,6","10,6","0,9",241
2019,"Noord-Brabant (PV)",1128847,11989,"10,4",230,"61,4","27,8","10,6","0,2",260
2020,"Noord-Brabant (PV)",1140611,10561,"9,5",233,"61,2","27,6","11,1","0,1",278
2021,"Noord-Brabant (PV)",1151426,11930,"11,3",235,"61,1","27,4","11,4","0,1",295
2022,"Noord-Brabant (PV)",1164414,12347,"11,9",238,"61,1","27,2","11,6","0,1",323
2023,"Noord-Brabant (PV)",1178285,12092,"10,7",240,"60,9","27","12","0,1",370
2024,"Noord-Brabant (PV)",1190844,10632,"9,1",243,"61","26,9","12","0,1",384
2025,"Noord-Brabant (PV)",1201668,NA,"",245,"","","","",406
2005,"Limburg (PV)",486205,3450,"6,2",226,"","","","",179
2006,"Limburg (PV)",489230,3665,"7,5",227,"58,1","","","3,8",179
2007,"Limburg (PV)",492910,4607,"5,8",229,"58,7","","","4,1",194
2008,"Limburg (PV)",497586,3426,"4,4",231,"59,2","","","4",202
